PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Bosco, Adamo; Lagana, Demetrio; Musmanno, Roberto; Vocaturo, Francesca				Lagana, Demetrio/Q-3039-2016; Vocaturo, Francesca/C-6563-2016	Lagana, Demetrio/0000-0003-2618-6715; Vocaturo, Francesca/0000-0001-7487-1077			A Matheuristic Algorithm for the Mixed Capacitated General Routing Problem								NETWORKS				64	4	SI		262	281		10.1002/net.21574					DEC 2014	2014																		0028-3045	1097-0037		WOS:000346701500003		
J	Bosco, Adamo; Lagana, Demetrio; Musmanno, Roberto; Vocaturo, Francesca				Lagana, Demetrio/Q-3039-2016; Vocaturo, Francesca/C-6563-2016	Lagana, Demetrio/0000-0003-2618-6715; Vocaturo, Francesca/0000-0001-7487-1077			Modeling and solving the mixed capacitated general routing problem								OPTIMIZATION LETTERS				7	7	SI		1451	1469		10.1007/s11590-012-0552-y					OCT 2013	2013																		1862-4472			WOS:000324824600005		
J	Bostel, Nathalie; Castagliola, Philippe; Dejax, Pierre; Langevin, Andre				Langevin, Andre/L-6176-2019				Approximating the length of Chinese postman tours								4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH				12	4			359	372		10.1007/s10288-014-0260-9					DEC 2014	2014																		1619-4500	1614-2411		WOS:000345583600003		
J	Braier, Gustavo; Duran, Guillermo; Marenco, Javier; Wesner, Francisco								An integer programming approach to a real-world recyclable waste collection problem in Argentina								WASTE MANAGEMENT & RESEARCH				35	5			525	533		10.1177/0734242X16688776					MAY 2017	2017																		0734-242X	1096-3669		WOS:000400759800009	28462677	
J	Braysy, Olli; Martinez, Eulalia; Nagata, Yuichi; Soler, David				Soler, David/K-2872-2014; Martinez, Eulalia/K-7913-2014	Soler, David/0000-0002-7707-1646; Martinez, Eulalia/0000-0003-2869-4334			The mixed capacitated general routing problem with turn penalties								EXPERT SYSTEMS WITH APPLICATIONS				38	10			12954	12966		10.1016/j.eswa.2011.04.092					SEP 15 2011	2011																		0957-4174			WOS:000292169500104		
J	Butsch, Alexander; Kalcsics, Joerg; Laporte, Gilbert				Kalcsics, Joerg/O-1616-2019	Kalcsics, Joerg/0000-0002-5013-3448			Districting for Arc Routing								INFORMS JOURNAL ON COMPUTING				26	4			809	824		10.1287/ijoc.2014.0600					FAL 2014	2014																		1091-9856	1526-5528		WOS:000343127300012		
S	Campbell, James F.; Langevin, Andre; Perrier, Nathalie						Corberan, A; Laporte, G		Advances in Vehicle Routing for Snow Plowing								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				321	350							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100015		
J	Chang, Tsung-Sheng; Yen, Hui-Mei								City-courier routing and scheduling problems								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				223	2			489	498		10.1016/j.ejor.2012.06.007					DEC 1 2012	2012																		0377-2217			WOS:000308521400020		
J	Chen, Lei; Zhang, Ke; Zhu, Xiangwei; Huang, Yangbo; Ou, Gang; Liu, Huicui					Zhang, Ke/0000-0003-1354-4886			BeiDou Satellites Assistant Determination by Receiving Other GNSS Downlink Signals								INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION										1413401	10.1155/2016/1413401					2016	2016																		1687-5869	1687-5877		WOS:000380333500001		
J	Chen, Lu; Gendreau, Michel; Ha, Minh Hoang; Langevin, Andre				Langevin, Andre/L-6176-2019; Gendreau, Michel/M-6235-2018; Gendreau, Michel/N-7950-2019	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			A robust optimization approach for the road network daily maintenance routing problem with uncertain service time								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				85				40	51		10.1016/j.tre.2015.11.006					JAN 2016	2016																		1366-5545			WOS:000368208000003		
J	Chen, Lu; Minh Hoang Ha; Langevin, Andre; Gendreau, Michel				Langevin, Andre/L-6176-2019; Gendreau, Michel/N-7950-2019; Gendreau, Michel/M-6235-2018	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			Optimizing road network daily maintenance operations with stochastic service and travel times								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				64				88	102		10.1016/j.tre.2014.02.002					APR 2014	2014																		1366-5545			WOS:000334988300006		
J	Chen, Yuning; Hao, Jin-Kao; Glover, Fred					Chen, Yuning/0000-0002-8388-7932			A hybrid metaheuristic approach for the capacitated arc routing problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				253	1			25	39		10.1016/j.ejor.2016.02.015					AUG 16 2016	2016																		0377-2217	1872-6860		WOS:000374613900003		
J	Colombi, Marco; Corberan, Angel; Mansini, Renata; Plana, Isaac; Sanchis, Jose M.					Corberan, Angel/0000-0002-0664-4232			The Hierarchical Mixed Rural Postman Problem: Polyhedral analysis and a branch-and-cut algorithm								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				257	1			1	12		10.1016/j.ejor.2016.07.026					FEB 16 2017	2017																		0377-2217	1872-6860		WOS:000386738300001		
J	Colombi, Marco; Mansini, Renata								New results for the Directed Profitable Rural Postman Problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				238	3			760	773		10.1016/j.ejor.2014.05.006					NOV 1 2014	2014																		0377-2217	1872-6860		WOS:000338002600009		
J	Colombi, Marco; Corberan, Angel; Mansini, Renata; Plana, Isaac; Sanchis, Jose M.					Corberan, Angel/0000-0002-0664-4232			The Hierarchical Mixed Rural Postman Problem								TRANSPORTATION SCIENCE				51	2			755	770		10.1287/trsc.2016.0686					MAY 2017	2017																		0041-1655			WOS:000401146800021		
J	Constantino, Miguel; Gouveia, Luis; Mourao, Maria Candida; Nunes, Ana Catarina				, CMAFcIO/N-7922-2019; Nunes, Ana Catarina/A-2148-2013; Gouveia, Luis/M-3978-2017; Mourao, Maria Candida/P-4585-2016; Constantino, Miguel/M-5005-2017	Nunes, Ana Catarina/0000-0002-4025-1985; Gouveia, Luis/0000-0003-4393-1617; Mourao, Maria Candida/0000-0002-3891-6730; Constantino, Miguel/0000-0001-7550-2740			The mixed capacitated arc routing problem with non-overlapping routes								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				244	2			445	456		10.1016/j.ejor.2015.01.042					JUL 16 2015	2015																		0377-2217	1872-6860		WOS:000352331300009		
J	Constantino, Miguel; Candida Mourao, M.; Pinto, Leonor S.				, CMAFcIO/N-7922-2019; Mourao, Maria Candida/P-4585-2016	Mourao, Maria Candida/0000-0002-3891-6730			Dissimilar arc routing problems								NETWORKS				70	3	SI		233	245		10.1002/net.21763					OCT 2017	2017						2nd Workshop on Arc Routing Problems (WARP)2nd Workshop on Arc Routing Problems (WARP)	MAY 22-24, 2016MAY 22-24, 2016		Univ Lisboa, ISEG Lisbon Sch Econ & Management, Lisbon, PORTUGALUniv Lisboa, ISEG Lisbon Sch Econ & Management, Lisbon, PORTUGAL									0028-3045	1097-0037		WOS:000409070700005		
S	Corberan, Angel; Laporte, Gilbert						Corberan, A; Laporte, G		A Historical Perspective on Arc Routing								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				1	15							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100002		
